[2023-12-04 15:34:04,580: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-04 16:04:56,490: INFO: main: >>>>>> Stage Prepare base model started <<<<<<]
[2023-12-04 16:04:56,491: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 16:04:56,491: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 16:04:56,491: INFO: common: created directory at: artifacts]
[2023-12-04 16:04:56,491: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-04 16:04:56,491: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2023-12-04 16:05:13,349: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into fileartifacts/data_ingestion/data.zip]
[2023-12-04 16:05:17,076: INFO: main: >>>>>> Stage Prepare base model completed <<<<<<

x==========x]
[2023-12-04 16:05:17,076: INFO: main: ********************]
[2023-12-04 16:05:17,076: INFO: main: >>>>> Stage Data Ingestion stage started <<<<<]
[2023-12-04 16:05:17,077: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-04 16:05:17,077: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-04 16:05:17,077: INFO: common: created directory at: artifacts]
[2023-12-04 16:05:17,077: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-04 16:05:17,263: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-04 16:05:17,430: INFO: main: >>>>>> Stage Data Ingestion stage completed <<<<<<

x==========x]
[2023-12-05 18:05:19,043: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:05:19,045: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:05:19,046: INFO: common: created directory at: artifacts]
[2023-12-05 18:10:48,343: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:10:48,345: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:10:48,345: INFO: common: created directory at: artifacts]
[2023-12-05 18:10:48,346: INFO: common: created directory at: artifacts/training]
[2023-12-05 18:13:42,014: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:13:42,015: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:13:42,016: INFO: common: created directory at: artifacts]
[2023-12-05 18:13:42,016: INFO: common: created directory at: artifacts/training]
[2023-12-05 18:26:43,464: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:26:43,465: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:26:43,466: INFO: common: created directory at: artifacts]
[2023-12-05 18:26:43,466: INFO: common: created directory at: artifacts/training]
[2023-12-05 18:26:49,847: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:26:49,848: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:26:49,848: INFO: common: created directory at: artifacts]
[2023-12-05 18:26:49,848: INFO: common: created directory at: artifacts/training]
[2023-12-05 18:44:11,176: INFO: main: >>>>>> Stage Data Ingestion stage started <<<<<<]
[2023-12-05 18:44:11,176: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:44:11,177: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:44:11,177: INFO: common: created directory at: artifacts]
[2023-12-05 18:44:11,177: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-05 18:44:11,177: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2023-12-05 18:44:24,772: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1BS89NpD-yIMtX9j9tR416lPcDm6jtQqK/view?usp=drive_link into fileartifacts/data_ingestion/data.zip]
[2023-12-05 18:44:28,258: INFO: main: >>>>>> Stage Data Ingestion stage completed <<<<<<

x==========x]
[2023-12-05 18:44:28,258: INFO: main: ********************]
[2023-12-05 18:44:28,258: INFO: main: >>>>> Stage Prepare base model started <<<<<]
[2023-12-05 18:44:28,259: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:44:28,259: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-05 18:44:28,259: INFO: common: created directory at: artifacts]
[2023-12-05 18:44:28,259: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-05 18:44:28,440: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-05 18:44:28,656: INFO: main: >>>>>> Stage Prepare base model completed <<<<<<

x==========x]
[2023-12-05 18:44:44,394: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-12-05 18:44:44,395: INFO: common: yaml file: params.yaml loaded successfully]
